date,rank
2004-06-05,10
2004-06-12,26
2004-06-19,38
2004-06-26,60
2005-01-01,100
2007-02-03,100
2007-02-24,99
2007-03-03,82
2007-03-10,86
2007-03-17,82
2007-03-24,98
2007-03-31,89
2007-04-07,84
2007-04-14,94
2007-05-19,91
2007-06-09,97
2007-06-16,99
2007-07-07,73
2007-07-14,95
2007-07-21,81
2007-07-28,77
2007-08-04,87
2007-08-11,92
2007-08-18,95
2007-08-25,93
2007-09-01,91
2007-09-08,92
2007-10-27,86
2007-11-03,97
2007-11-24,76
2007-12-01,64
2007-12-08,92
2008-01-05,89
2008-01-12,78
2008-01-19,90
2008-01-26,89
2008-02-02,93
2008-02-09,82
2008-02-16,81
2008-02-23,91
2008-03-08,93
2008-03-15,98
2008-03-22,79
2008-03-29,100
2008-04-05,100
2008-04-12,90
2008-04-19,87
2008-06-28,98
2008-07-05,89
2008-07-12,99
2008-07-19,88
2008-07-26,98
2008-08-16,92
2008-08-23,90
2008-08-30,85
2008-09-06,79
2008-09-13,86
2008-09-20,94
2008-10-11,91
2008-10-18,86
2008-10-25,80
2008-11-01,88
2008-11-08,96
2008-11-15,60
2008-11-22,73
2008-11-29,89
2009-01-03,99
2009-01-10,86
2009-01-17,96
2009-01-24,90
2009-01-31,89
2009-02-07,98
2009-02-14,98
2009-02-21,90
2009-02-28,93
2009-03-07,87
2009-06-06,100
2009-06-13,70
2009-07-25,96
2009-09-05,89
2009-09-12,93
2010-01-09,59
2010-01-16,75
2010-01-30,97
2012-05-12,48
2012-05-19,47
2012-05-26,52
2012-06-02,92
2012-07-28,95
2012-08-04,50
2012-08-11,47
2012-08-18,93
2012-09-01,58
2012-09-08,52
2012-09-15,59
2012-09-22,82
2012-09-29,80
2013-01-05,79
2013-01-12,57
2013-06-08,98
2013-06-15,88
2013-06-22,81
2013-06-29,84
2013-07-06,85
2013-07-27,87
2013-11-23,88
2013-12-21,75
2013-12-28,29
2014-01-04,28
2014-01-11,36
2014-01-18,67
2014-08-02,92
2014-08-23,100
2014-08-30,94
2015-01-10,74
2015-04-25,69
2015-05-02,73
2015-05-09,88
2015-09-03,84
2015-09-17,84
2015-09-24,94
2016-03-24,93
2016-03-31,100
2016-04-07,53
2016-04-14,65
2016-04-21,78
2016-04-28,97
2016-07-14,86
2016-07-21,88
2016-07-28,84
2016-08-04,86
2016-08-11,88
2016-08-18,92
2016-08-25,85
2016-09-01,89
2016-09-08,90
2016-09-15,92
2016-09-22,90
2016-09-29,89
2016-10-06,82
2016-10-13,87
2016-10-20,85
2016-10-27,79
2016-11-03,88
2016-11-10,89
2016-11-17,89
2016-11-24,85
2016-12-01,83
2016-12-08,95
2016-12-15,91
2016-12-22,99
2016-12-29,100
2017-01-05,90
2017-01-12,49
2017-01-19,81
2017-01-26,73
2017-02-02,73
2017-02-09,80
2017-02-16,80
2017-02-23,75
2017-03-02,85
2017-03-09,98
2017-04-13,95
2017-04-20,92
2017-05-11,95
2017-05-18,93
2017-06-01,80
2017-06-08,83
2017-06-15,97
2017-06-22,90
2017-06-29,83
2017-07-06,69
2017-07-13,55
2017-07-20,45
2017-07-27,45
2017-08-03,53
2017-08-10,55
2017-08-17,50
2017-08-24,89
2017-08-31,92
2017-09-07,86
2017-09-14,96
2017-09-28,92
2017-10-05,91
2017-10-12,85
